Topics,Alpha,Beta,Coherence
2,0.2,0.2,-36.567735530468326
2,0.2,0.4,-36.2781234850246
2,0.2,0.6000000000000001,-37.61112706407018
2,0.2,0.8,-36.80702154234418
2,0.4,0.2,-36.56022118013852
2,0.4,0.4,-36.95334746501477
2,0.4,0.6000000000000001,-36.567735530468326
2,0.4,0.8,-35.734815271487754
2,0.6000000000000001,0.2,-36.2781234850246
2,0.6000000000000001,0.4,-35.91637379382851
2,0.6000000000000001,0.6000000000000001,-38.082621319210446
2,0.6000000000000001,0.8,-36.0315197877191
2,0.8,0.2,-36.306737025190394
2,0.8,0.4,-36.35712810823611
2,0.8,0.6000000000000001,-36.26526498450752
2,0.8,0.8,-36.13466548677887
4,0.2,0.2,-38.286025060684594
4,0.2,0.4,-41.90784582904057
4,0.2,0.6000000000000001,-37.56598140194838
4,0.2,0.8,-37.170251960169296
4,0.4,0.2,-37.38065049753841
4,0.4,0.4,-43.38804705404058
4,0.4,0.6000000000000001,-44.63603779664731
4,0.4,0.8,-39.3924812636443
4,0.6000000000000001,0.2,-37.46678130092694
4,0.6000000000000001,0.4,-41.96825604114639
4,0.6000000000000001,0.6000000000000001,-48.288526397217154
4,0.6000000000000001,0.8,-38.482391049492755
4,0.8,0.2,-38.98768454674648
4,0.8,0.4,-37.84379382455375
4,0.8,0.6000000000000001,-40.61282497811577
4,0.8,0.8,-42.169790111236
6,0.2,0.2,-41.09214669889766
6,0.2,0.4,-45.43447303370288
6,0.2,0.6000000000000001,-42.61865678394
6,0.2,0.8,-47.01080861369001
6,0.4,0.2,-42.553445238850905
6,0.4,0.4,-39.75509793608092
6,0.4,0.6000000000000001,-38.508500284309946
6,0.4,0.8,-52.45134745131713
6,0.6000000000000001,0.2,-40.70846652181451
6,0.6000000000000001,0.4,-43.31912668359257
6,0.6000000000000001,0.6000000000000001,-43.828393917971034
6,0.6000000000000001,0.8,-45.57661640182005
6,0.8,0.2,-39.062986827926416
6,0.8,0.4,-43.36459251642362
6,0.8,0.6000000000000001,-49.708839277897646
6,0.8,0.8,-39.46753330807938
8,0.2,0.2,-41.31740630364778
8,0.2,0.4,-44.17327678583239
8,0.2,0.6000000000000001,-43.7356720306354
8,0.2,0.8,-51.685737586933584
8,0.4,0.2,-41.79776262549153
8,0.4,0.4,-40.96023184979171
8,0.4,0.6000000000000001,-42.167503630784594
8,0.4,0.8,-46.96173257609327
8,0.6000000000000001,0.2,-44.30180504043338
8,0.6000000000000001,0.4,-43.74810852705339
8,0.6000000000000001,0.6000000000000001,-46.32592062679318
8,0.6000000000000001,0.8,-51.702596860695806
8,0.8,0.2,-41.95250574127925
8,0.8,0.4,-45.12964289093752
8,0.8,0.6000000000000001,-47.12006430586462
8,0.8,0.8,-44.721388804189715
10,0.2,0.2,-45.18833221099523
10,0.2,0.4,-43.7549720334198
10,0.2,0.6000000000000001,-46.579988083892104
10,0.2,0.8,-47.437126587302615
10,0.4,0.2,-43.262726937209834
10,0.4,0.4,-49.39089619327254
10,0.4,0.6000000000000001,-44.75354090733401
10,0.4,0.8,-43.71540559212876
10,0.6000000000000001,0.2,-44.66099061600054
10,0.6000000000000001,0.4,-45.48318874877388
10,0.6000000000000001,0.6000000000000001,-40.99234109059226
10,0.6000000000000001,0.8,-50.57820347602238
10,0.8,0.2,-43.465646093635215
10,0.8,0.4,-44.408009518385356
10,0.8,0.6000000000000001,-38.68715330300663
10,0.8,0.8,-46.99801819907202
12,0.2,0.2,-47.5711053377486
12,0.2,0.4,-45.653955302594085
12,0.2,0.6000000000000001,-44.74950932238159
12,0.2,0.8,-42.487495086103735
12,0.4,0.2,-41.32230343579983
12,0.4,0.4,-45.659689519039546
12,0.4,0.6000000000000001,-43.953830356136415
12,0.4,0.8,-48.896911261159296
12,0.6000000000000001,0.2,-42.65309658644715
12,0.6000000000000001,0.4,-42.956875598594515
12,0.6000000000000001,0.6000000000000001,-36.84375847844095
12,0.6000000000000001,0.8,-48.346874489869926
12,0.8,0.2,-43.2675600559306
12,0.8,0.4,-42.55406495644555
12,0.8,0.6000000000000001,-40.90524269822228
12,0.8,0.8,-52.83997190582861
14,0.2,0.2,-40.527528977837946
14,0.2,0.4,-47.16038473796451
14,0.2,0.6000000000000001,-49.3644147088302
14,0.2,0.8,-44.733166414297735
14,0.4,0.2,-45.48715657369417
14,0.4,0.4,-46.139247524169164
14,0.4,0.6000000000000001,-48.721148069672616
14,0.4,0.8,-41.28700275933865
14,0.6000000000000001,0.2,-47.199295404565355
14,0.6000000000000001,0.4,-37.18577686477155
14,0.6000000000000001,0.6000000000000001,-43.090341023237045
14,0.6000000000000001,0.8,-41.86048626730587
14,0.8,0.2,-44.97531841228855
14,0.8,0.4,-41.10792474873157
14,0.8,0.6000000000000001,-45.56418853183954
14,0.8,0.8,-41.92450338775908
16,0.2,0.2,-43.82549944264363
16,0.2,0.4,-47.871311573367414
16,0.2,0.6000000000000001,-41.902719597266646
16,0.2,0.8,-41.586571563560696
16,0.4,0.2,-45.7278311812545
16,0.4,0.4,-41.282472202620056
16,0.4,0.6000000000000001,-46.99677322226036
16,0.4,0.8,-47.67809607507391
16,0.6000000000000001,0.2,-42.30742738510992
16,0.6000000000000001,0.4,-45.59963468937564
16,0.6000000000000001,0.6000000000000001,-43.73629748815662
16,0.6000000000000001,0.8,-44.103637440279336
16,0.8,0.2,-43.30906078393903
16,0.8,0.4,-43.05753911791934
16,0.8,0.6000000000000001,-48.16102142543907
16,0.8,0.8,-43.96227041464071
