,Token Counts,Keyword #1,Keyword #2,Keyword #3,Keyword #4,Keyword #5,Keyword #6,Keyword #7,Keyword #8,Keyword #9,Keyword #10
Topic #0,727,wors,seduc,wax,shall,men,evil,deceiv,timothi,commongood,tim
Topic #1,203178,covidvaccin,vaccin,dose,got,first,today,covid,thank,get,second
Topic #2,194,goblin,frog,mainetain,clinicalmem,goodtextur,billtuft,friendsosci,maximeberni,nfpublic,independentsev
Topic #3,1500,art,redbubbl,rbandm,findyourth,print,awesom,product,support,get,noorchashm
Topic #4,1091727,covidvaccin,vaccin,covid,get,peopl,nt,need,one,take,us
Topic #5,255,newstalkflorida,sportstalkfla,ussportsacademi,jwmediadc,wordmandc,sportsbiz,sport,templat,hierarchi,organiz
Topic #6,9421,year,pleas,postpon,tokyoolymp,parisolymp,laolymp,hello,white_large_squar,nbcnew,black_large_squar
Topic #7,7005,largestvaccinedr,share,experi,district,shri,price,smt,comfort,taxi,trav
Topic #8,1469,record,song,origin,isol,pandem,coronaviru,live,lead,south_africa,racialprofil
Topic #9,240,icai,icaiexam,lctx,icaiexamspostpon,ceo_culley,lineagecel,enduncertaintyicai,brick,icai_denies_justic,chrislancashir
Topic #10,7792,_,vanillaweb,mmama,lisamsettl,matthancock,futuredoc,agebay,templat,doctor_oxford,whatsapp
Topic #11,133,aprylsmitht,gomeschantel,ronnilauri,gheetar,avestig,bandieran,beverlybednarc,robertvosfrer,noc,henderson
Topic #12,360,mrjamesob,ripaljeet,dementiabam,shahid_mosardar,meriyaadainc,abbasshuhala,bme_dementia,alzheimerssoc,satan,discipl
Topic #13,370,commod,von,france_en,governm,bbcafrica,candi,patrick,dwnew,stutenze,cnnafrica
Topic #14,32,gaultonliz,peterbcov,ramlakha,harjapbhang,pooja_ahlu,punjabichamb,ckssekhon,gotransit,gotransitl,mandy_sanghera
Topic #15,199713,vaccin,covid,covidvaccin,india,coronaviru,dose,first,trial,pfizer,astrazeneca
Topic #16,246,cejryanmcmahon,claudiatenney,cni,whco,youngkimca,_,covidstatcast,mous,joebiden,repjohnkatko
Topic #17,2400,wakefield,genet,modif,irrevers,warn,vax,dr,footwearmal,_,ambassador
Topic #18,3898,educ,redfor,ape,big,tbat,top,mask,headlin,banana,glass
Topic #19,384,dboss,sarkaruvaaripaata,spreadboss,roberrt,maheshbabu,marketsmith,fed,newschannel,cnycentr,aapl
